#{"t_start": 1730541411.1325488, "env_id": "None"}
r,l,t
-5491.0,3666,12.881098
-19232.0,11691,27.451731
-11205.0,8089,41.705784
-4893.0,5557,53.244569
-13103.0,13661,84.926477
-9632.0,19291,131.457765
-8317.0,16024,144.597701
-13968.0,27418,164.216712
-6900.0,13475,173.400788
-6541.0,13346,182.986293
-2121.0,1923,187.767471
-6557.0,10649,196.083328
-4509.0,9216,202.722839
-2417.0,4988,205.937303
-11021.0,21847,222.199096
-2930.0,5862,226.58009
-5582.0,11406,240.251091
-6791.0,13561,250.486053
-9230.0,17831,268.524282
-13526.0,24390,307.841127
-4321.0,8748,326.260756
-11311.0,18934,358.625778
-8699.0,13530,370.223591
-8421.0,15143,382.482563
-5838.0,9784,388.707054
-12248.0,19988,402.11418
-2549.0,2120,407.56588
-12501.0,13654,418.087627
-8788.0,13277,427.896039
-9192.0,12739,438.629924
-5904.0,10486,447.403527
-6947.0,11337,456.514587
-1934.0,1463,461.615949
-5287.0,7168,467.736034
-13253.0,15260,481.894944
-10203.0,10325,489.8848
-13763.0,16748,502.030733
-7709.0,9539,510.105278
-16009.0,18026,542.618016
-4666.0,8722,555.548885
-5892.0,8204,562.593442
-12304.0,20233,583.997437
-10365.0,12843,594.368131
-9331.0,13356,610.453708
-7149.0,11443,619.825595
-5814.0,9783,627.803884
-11071.0,15639,643.043873
-25655.0,31431,681.678072
-13727.0,17835,719.247064
-10736.0,18487,746.485573
-9292.0,12654,764.275215
-3270.0,4626,772.612919
-6539.0,7478,784.593489
-8709.0,15494,802.285427
-10069.0,19297,817.848675
-7561.0,12625,828.7153
-4148.0,6917,839.71695
-9293.0,14328,857.350393
-5607.0,9740,872.073467
-10736.0,17417,886.3749
-11057.0,12204,895.921486
-2914.0,6070,900.407869
-12987.0,20006,916.336954
-7644.0,12047,933.283809
-5211.0,9901,941.403375
-5992.0,8569,947.932703
-9996.0,19018,962.574683
-2778.0,5355,966.95366
-4883.0,10008,983.514894
-5043.0,9654,991.753692
-12229.0,21204,1008.453459
-9465.0,18928,1034.755645
-7361.0,14008,1048.795096
-13637.0,26968,1082.597384
-4066.0,7469,1092.944946
-6487.0,12516,1103.16471
-7342.0,14882,1114.64347
-10817.0,19428,1133.861609
-9897.0,20058,1163.694748
-9079.0,18356,1188.393845
-7468.0,13813,1203.166274
-7778.0,14509,1214.464946
-5099.0,10383,1221.833445
-8578.0,16961,1241.205422
-5453.0,11038,1250.183794
-3610.0,7396,1255.975067
-9880.0,20002,1272.710154
-9832.0,19178,1288.65336
-9664.0,19592,1321.753757
-5565.0,10698,1339.112743
-8100.0,16265,1354.295472
-6810.0,13802,1364.903913
-9057.0,16212,1378.374745
-5280.0,10714,1394.99368
-8908.0,18058,1410.158316
-14575.0,28100,1429.943715
-14021.0,27622,1448.684881
-6194.0,12494,1458.244963
-8212.0,16622,1477.805067
-7347.0,14914,1490.985315
-6026.0,12316,1501.192895
-12157.0,24512,1520.811434
-7272.0,14764,1535.485107
-5546.0,10992,1560.657929
-4161.0,8586,1574.069606
-8095.0,16454,1591.743756
-10205.0,20652,1608.503814
-7180.0,14624,1619.753994
-5992.0,12182,1635.385112
-7342.0,14948,1647.601265
-7099.0,14374,1658.29785
-5283.0,10599,1666.378259
-9003.0,18226,1674.140782
-7597.0,15392,1686.445127
-12994.0,26062,1695.592985
-6306.0,12854,1700.160309
-4615.0,9472,1703.5643
-6465.0,13036,1708.433626
-11981.0,24226,1720.468731
-7347.0,14914,1726.042826
-5648.0,11497,1730.172706
-5796.0,11790,1734.292748
-10885.0,22034,1742.239151
-5647.0,11558,1749.730582
-5328.0,10854,1753.965572
-8553.0,17326,1761.589697
-7167.0,14532,1767.179511
-7851.0,15900,1773.411886
-7948.0,16138,1782.856598
-8979.0,18222,1790.186421
-7764.0,15748,1796.197968
-10196.0,19624,1803.681138
-10762.0,21788,1812.135631
-12602.0,25446,1825.021089
-7089.0,14398,1831.9008
-4946.0,10134,1835.616964
-7158.0,14580,1841.422604
-16934.0,34132,1853.968481
-13164.0,26592,1868.093849
-4535.0,9268,1871.561397
-10406.0,21076,1879.846648
-5507.0,11218,1883.948454
-6397.0,12992,1888.730831
-3331.0,6860,1894.226398
-10023.0,16783,1899.790525
-8618.0,17038,1906.820639
-10470.0,21052,1915.235275
-6959.0,14182,1920.199132
-6683.0,13586,1928.325004
-5854.0,11972,1933.744479
-7536.0,15336,1940.263831
-18072.0,35721,1953.509501
-7371.0,15006,1959.697864
-4966.0,10130,1966.779888
-9353.0,18970,1974.287704
-16051.0,32366,1986.568781
-7902.0,16002,1992.549294
-8129.0,16500,1999.17853
-6428.0,13098,2009.723593
-8679.0,16923,2016.038253
-13335.0,25148,2026.06621
-8567.0,16426,2032.078461
-3867.0,7954,2034.947966
-12963.0,26095,2051.534439
-13810.0,27542,2063.759181
-10982.0,22000,2073.168696
-3178.0,6510,2075.850951
-9200.0,17958,2083.425079
-13858.0,27961,2095.753599
-14760.0,28758,2105.356759
-7098.0,14365,2110.50838
-7354.0,14003,2115.954449
-4049.0,8210,2119.223801
-12854.0,24636,2131.829642
-5729.0,11722,2136.048498
-14352.0,26365,2145.573124
-8742.0,17691,2152.928177
-6149.0,12392,2157.344854
-4453.0,9132,2163.925908
-7312.0,14806,2168.958895
-3695.0,6695,2171.244767
-6197.0,12009,2175.340008
-8924.0,17865,2181.790042
-9670.0,18841,2193.739535
-11381.0,18827,2200.494832
-8987.0,15515,2205.979112
-6726.0,13612,2210.716134
-9105.0,15260,2216.63201
-6727.0,13262,2227.159524
-7291.0,12503,2234.088601
-8821.0,13175,2240.22839
-3650.0,6817,2243.251346
-13563.0,20563,2253.386527
-3246.0,5791,2258.662695
-11500.0,19369,2265.375696
-14298.0,26808,2275.053836
-7018.0,10839,2279.705577
-11034.0,19793,2287.687618
-8266.0,16695,2296.835545
-5077.0,8246,2299.752042
-6373.0,11965,2304.056446
-5164.0,8816,2307.286667
-5682.0,9934,2310.826842
-8014.0,15931,2321.099868
-14578.0,28258,2331.740788
-8905.0,17254,2338.546861
-5073.0,9796,2342.474695
-4901.0,9924,2346.137548
-8425.0,15651,2354.861496
-5913.0,10371,2358.618556
-8001.0,16127,2364.735486
-9295.0,18189,2371.763218
-6029.0,12113,2376.800093
-2486.0,5151,2382.368038
-5467.0,9954,2386.734939
-9319.0,18288,2393.879805
-12335.0,23414,2402.765519
-6332.0,12890,2407.556388
-10551.0,20806,2419.382903
-10172.0,17958,2426.744962
-9830.0,18952,2434.248088
-6112.0,12314,2439.374414
-4394.0,9052,2443.272038
-5084.0,9942,2450.895734
-7951.0,15938,2456.979945
-6513.0,12518,2461.830683
-11743.0,22629,2470.141487
-7111.0,14486,2475.689449
-7844.0,12985,2485.778671
-9017.0,17846,2492.885835
-3963.0,8102,2496.071723
-5938.0,12058,2500.927076
-5358.0,10936,2505.467594
-6961.0,14085,2514.326684
-10368.0,18663,2520.945682
-9490.0,18681,2528.275456
-4519.0,9170,2531.832968
-6302.0,11371,2536.289528
-7156.0,13525,2545.298669
-4221.0,8301,2548.505718
-1640.0,3478,2549.7008
-7425.0,14658,2555.040199
-6159.0,12183,2560.068509
-9937.0,19169,2571.417624
-2397.0,4679,2572.983549
-2708.0,5364,2574.968189
-5946.0,10070,2578.443711
-3905.0,8030,2581.261324
-3761.0,7720,2588.669492
-7286.0,14836,2594.605541
-7399.0,15018,2601.523587
-13780.0,27653,2612.365421
-8363.0,16858,2618.063548
-9660.0,19052,2627.590123
-2759.0,5738,2629.67898
-13529.0,26876,2639.109378
-10788.0,21324,2646.767305
-6505.0,13274,2652.336836
-9854.0,19298,2663.488152
-9703.0,19173,2671.393719
-7926.0,16040,2677.13734
-5708.0,11411,2682.305163
-10061.0,18543,2689.723798
-8691.0,15610,2698.717593
-3957.0,7409,2701.900638
-8177.0,15855,2707.813197
-6435.0,13134,2712.695832
-6422.0,11940,2716.746737
-3771.0,7762,2722.398813
-11790.0,22970,2732.617133
-14598.0,26629,2744.028202
-6696.0,12393,2749.947483
-5727.0,11408,2754.884567
-6832.0,13548,2764.234656
-6514.0,12833,2768.833616
-6220.0,12704,2773.546456
-8621.0,17278,2780.724676
-7267.0,13978,2786.33142
-9256.0,18776,2797.452909
-5004.0,10228,2801.736325
-8024.0,15685,2808.066444
-7657.0,15578,2813.311136
-5266.0,10730,2817.790472
-6197.0,11373,2825.072673
-4642.0,9526,2828.523428
-4809.0,9816,2832.22192
-8839.0,17942,2838.815344
-7136.0,13308,2844.301206
-7491.0,15151,2854.330169
-7798.0,15784,2859.709406
-6534.0,12791,2864.443454
-6090.0,12378,2869.577499
-6763.0,13724,2874.772861
-12950.0,26066,2890.697264
-3080.0,6314,2892.769415
-13982.0,28228,2903.417392
-15673.0,31610,2915.200675
-4245.0,8754,2918.073
-11112.0,22317,2928.271476
-8782.0,17578,2934.63069
-10254.0,20772,2942.391192
-3093.0,6450,2944.881159
-6925.0,13424,2949.682866
